site_id,osm_id,confidence,review,match
34257,1770114478,0.5,1,citta
37583,1770114478,0.83,1,citta
27786,1770114478,0.56,1,citta
29885,1770114478,0.5,1,citta
22047,1770114480,0.53,1,citta
37712,1770114478,0.5,1,citta
20283,3216704986,0.82,1,paese
20922,477165982,0.8,1,paese
38452,1068350017,0.75,1,paese
36439,689028877,0.86,0,paese
42395,11308985269,0.67,1,citta
43026,6985158862,0.5,1,citta
39333,160778697,0.54,1,citta
31099,965454463,0.81,1,paese
37679,920644186,1,0,paese
31044,472432502,0.89,0,paese
39068,924379387,0.72,1,citta
31330,1228265040,1,0,citta
38171,567653824,1,0,citta
35634,1055483224,0.86,0,paese
38983,1225587757,0.78,1,paese
35761,262282097,1,0,paese
38988,230896851,0.79,1,paese
30914,949331917,0.8,1,paese
29248,113472261,0.76,1,citta
36878,113472227,0.64,1,citta
27890,323401808,0.78,1,citta
21246,131702428,1,0,citta
28427,612765683,0.52,1,citta
39069,612765683,0.62,1,citta
44232,1263952759,1,0,citta
34314,9799703368,1,0,paese
25985,274584587,0.76,1,citta
43211,400064991,1,0,paese
30692,777389930,0.5,1,citta
28591,4095415201,0.67,1,citta
23548,4095415201,0.53,1,citta
28594,250874930,0.51,1,citta
30485,250874930,0.53,1,citta
25464,4095415201,0.62,1,citta
27571,554804645,1,0,citta
35691,220935032,1,0,paese
36518,952126469,1,0,citta
39338,651193494,1,0,paese
37811,299135566,1,0,paese
39052,603911822,0.76,1,paese
37425,283172382,0.76,1,paese
31188,815947864,0.77,1,citta
32997,914528695,0.71,1,citta
37640,1228877331,0.79,1,paese
39133,167923213,0.62,1,citta
35465,403401515,0.81,1,citta
38440,505705384,0.98,0,citta
35425,11537289809,0.72,1,citta
22778,499953434,0.77,1,citta
31065,499953434,0.8,1,citta
36362,899385389,0.7,1,citta
39003,943905372,0.7,1,citta
39024,1521151667,0.81,1,citta
39337,98828874,0.85,1,citta
29347,935705784,1,0,citta
21329,112291186,0.62,1,citta
29301,442513101,0.68,1,citta
35041,119895941,0.67,1,citta
40733,262505038,1,0,citta
21280,206886028,1,0,citta
37337,206886028,0.61,1,citta
21829,560165459,0.9,0,citta
21333,218399745,1,0,citta
36786,303470429,0.85,1,citta
27682,242517032,0.69,1,citta
40368,532464929,0.82,1,citta
37681,242306186,1,0,citta
31060,582582249,1,0,citta
31302,846292769,1,0,citta
31049,259219428,1,0,paese
40417,521549925,0.62,1,citta
39880,984084712,0.77,1,citta
31414,287552880,1,0,paese
42142,947062720,1,0,citta
36528,977737106,1,0,citta
31134,732278208,1,0,citta
31052,871495526,1,0,citta
30138,128817477,1,0,paese
33062,74441286,0.87,1,citta
31324,1307610656,1,0,citta
31509,238130023,1,0,citta
37419,661083054,0.65,1,citta
38302,654658801,0.76,1,paese
41954,1227319709,1,0,citta
33641,591440739,0.63,1,citta
28314,296902335,0.83,1,paese
40612,739857330,0.81,1,paese
31062,1207098416,1,0,paese
25346,42187536,0.57,1,citta
31056,360626669,0.55,1,citta
35426,124474455,0.57,1,citta
31940,24334773,1,0,citta
37631,421505118,1,0,citta
31053,930022468,1,0,citta
31059,925046293,0.56,1,citta
32421,1034044920,0.53,1,citta
24985,13577283089,1,0,citta
21528,13577283089,0.87,1,citta
21533,410044475,0.55,1,citta
26127,13910269037,0.56,1,citta
22737,55335409,0.5,1,citta
30137,55335409,0.55,1,citta
31159,500776435,1,0,paese
36938,494508297,1,0,citta
38782,808879961,0.55,1,citta
31180,1128123020,1,0,citta
36885,933158249,0.57,1,citta
35914,791566285,0.58,1,citta
35270,749670355,0.84,1,citta
35927,1073693681,0.57,1,citta
31050,242894990,0.58,1,citta
35438,932765895,0.68,1,citta
39058,587321393,0.93,0,citta
21287,327911206,1,0,paese
27249,931370123,1,0,citta
21288,136250908,1,0,paese
40387,31803056,0.63,1,citta
32744,31557331,1,0,citta
38793,4153256354,0.72,1,citta
36050,222646280,0.6,1,citta
28958,227396413,1,0,paese
36089,207665017,0.5,1,citta
25405,207665017,0.5,1,citta
37645,7852651982,0.86,0,paese
34940,742330466,0.76,1,paese
38790,482572242,0.84,1,citta
40397,193809351,0.64,1,citta
34866,225187283,0.83,1,citta
40724,322079198,1,0,citta
38629,49599954,0.52,1,citta
38489,9948057131,0.75,1,citta
34875,232708813,0.8,1,citta
34792,625137173,1,0,citta
39498,152872633,0.57,1,citta
41917,173496739,0.83,1,paese
37632,933689152,0.76,1,citta
30913,788571770,1,0,citta
36033,1364896087,0.55,1,citta
28321,1364896087,0.67,1,citta
26744,828928746,0.71,1,citta
27944,237600662,1,0,citta
28331,26265103,0.55,1,citta
25251,523825819,1,0,citta
31349,5742533681,0.76,1,citta
31155,4076498003,0.9,0,paese
39343,609633260,0.56,1,citta
38679,609633260,0.57,1,citta
27619,652254805,0.82,1,citta
34643,1050484581,0.89,1,citta
31125,388598287,0.55,1,citta
36437,810292118,1,0,citta
31314,758782138,0.56,1,citta
30624,642766270,0.69,1,citta
30960,1062209297,1,0,citta
28319,486576323,0.56,1,citta
28329,480456373,0.55,1,citta
37644,480456373,0.67,1,citta
39472,920635715,0.95,0,citta
39460,218395410,0.96,0,citta
31080,307992916,0.88,0,paese
39048,58412114,0.75,1,paese
28857,320330566,0.71,1,citta
38324,191972386,0.79,1,paese
21853,948034187,1,0,paese
28327,220963355,1,0,citta
31716,435808547,1,0,citta
31076,13232086101,0.68,1,citta
29064,919029826,1,0,citta
27839,1022683806,0.7,1,citta
31201,1227538894,1,0,citta
31073,951712554,0.7,1,citta
